sim TrigNum Period Date Target Actual Status
501 1 51 20180525 0.030000 0.027956 FAIL
501 1 52 20180625 0.030000 0.027731 FAIL
501 1 53 20180725 0.030000 0.027565 FAIL
501 1 54 20180825 0.030000 0.027429 FAIL
501 1 55 20180925 0.030000 0.027311 FAIL
501 1 56 20181025 0.030000 0.027215 FAIL
501 1 57 20181125 0.030000 0.027088 FAIL
501 1 58 20181225 0.030000 0.026982 FAIL
501 1 59 20190125 0.030000 0.026870 FAIL
501 1 60 20190225 0.030000 0.026757 FAIL
501 1 61 20190325 0.030000 0.026620 FAIL
501 1 62 20190425 0.030000 0.026490 FAIL
501 1 63 20190525 0.030000 0.026378 FAIL
501 1 64 20190625 0.030000 0.026268 FAIL
501 1 65 20190725 0.030000 0.026171 FAIL
501 1 66 20190825 0.030000 0.026062 FAIL
501 1 67 20190925 0.030000 0.025960 FAIL
501 1 68 20191025 0.030000 0.025845 FAIL
501 1 69 20191125 0.030000 0.025692 FAIL
501 1 70 20191225 0.030000 0.025543 FAIL
501 1 71 20200125 0.030000 0.025383 FAIL
501 1 72 20200225 0.030000 0.025227 FAIL
501 1 73 20200325 0.030000 0.025061 FAIL
501 1 74 20200425 0.030000 0.024924 FAIL
501 1 75 20200525 0.030000 0.024837 FAIL
501 1 76 20200625 0.030000 0.024764 FAIL
501 1 77 20200725 0.030000 0.024710 FAIL
501 1 78 20200825 0.030000 0.024691 FAIL
501 1 79 20200925 0.030000 0.024697 FAIL
501 1 80 20201025 0.030000 0.024722 FAIL
501 1 81 20201125 0.030000 0.024752 FAIL
501 1 82 20201225 0.030000 0.024801 FAIL
501 1 83 20210125 0.030000 0.024854 FAIL
501 1 84 20210225 0.030000 0.024923 FAIL
501 1 85 20210325 0.030000 0.024965 FAIL
501 1 86 20210425 0.030000 0.025030 FAIL
501 1 87 20210525 0.030000 0.025135 FAIL
501 1 88 20210625 0.030000 0.025231 FAIL
501 1 89 20210725 0.030000 0.025334 FAIL
501 1 90 20210825 0.030000 0.025461 FAIL
501 1 91 20210925 0.030000 0.025577 FAIL
501 1 92 20211025 0.030000 0.025699 FAIL
501 1 93 20211125 0.030000 0.025791 FAIL
501 1 94 20211225 0.030000 0.025872 FAIL
501 1 95 20220125 0.030000 0.025946 FAIL
501 1 96 20220225 0.030000 0.026013 FAIL
501 1 97 20220325 0.030000 0.026043 FAIL
501 1 98 20220425 0.030000 0.026098 FAIL
501 1 99 20220525 0.030000 0.026198 FAIL
501 1 100 20220625 0.030000 0.026287 FAIL
501 1 101 20220725 0.030000 0.026404 FAIL
501 1 102 20220825 0.030000 0.026541 FAIL
501 1 103 20220925 0.030000 0.026658 FAIL
501 1 104 20221025 0.030000 0.026798 FAIL
501 1 105 20221125 0.030000 0.026896 FAIL
501 1 106 20221225 0.030000 0.026980 FAIL
501 1 107 20230125 0.030000 0.027059 FAIL
501 1 108 20230225 0.030000 0.027124 FAIL
501 1 109 20230325 0.030000 0.027164 FAIL
501 1 110 20230425 0.030000 0.027229 FAIL
501 1 111 20230525 0.030000 0.027344 FAIL
501 1 112 20230625 0.030000 0.027441 FAIL
501 1 113 20230725 0.030000 0.027583 FAIL
501 1 114 20230825 0.030000 0.027737 FAIL
501 1 115 20230925 0.030000 0.027870 FAIL
501 1 116 20231025 0.030000 0.028027 FAIL
501 1 117 20231125 0.030000 0.028133 FAIL
501 1 118 20231225 0.030000 0.028242 FAIL
501 1 119 20240125 0.030000 0.028334 FAIL
