sim month Balance SchedPrincipal UnschedPrincipal Liquidated
501 52 19205786980.24 40759045.01 140602438.38 16223041.22
501 53 19028425474.64 40587585.20 136773920.41 14971670.73
501 54 18850728226.83 40421815.53 137275432.28 13915322.06
501 55 18705975078.04 40252616.11 104500532.67 13032127.59
501 56 18554477002.16 40151133.17 111346942.71 12457465.94
501 57 18416976450.26 40033735.58 97466816.32 11730674.52
501 58 18290702243.78 39944944.30 86329262.17 10968426.99
501 59 18175214360.25 39876739.06 75611144.48 11284220.73
501 60 18052443692.26 39831356.05 82939311.94 11367986.19
501 61 17915361316.67 39768746.99 97313628.60 11483110.06
501 62 17774211569.65 39673180.21 101476566.81 11579693.49
501 63 17620858340.47 39566732.22 113786496.96 11760452.97
501 64 17471048332.77 39431188.92 110378818.79 11949336.42
501 65 17314901804.84 39301797.40 116844730.52 12033775.25
501 66 17162877688.64 39155696.84 112868419.36 12282886.55
501 67 17030095037.70 39016717.25 93765933.69 12567572.86
501 68 16892772766.23 38920246.70 98402024.77 12587307.63
501 69 16768818831.44 38812739.77 85141195.02 12148272.79
501 70 16647364493.78 38734286.24 82720051.43 11741329.34
501 71 16541315602.17 38660677.79 67388213.82 11118583.62
501 72 16428844410.56 38622145.32 73849046.29 10282266.65
501 73 16294247607.45 38567325.67 96029477.44 9514619.35
501 74 16158824066.11 38458508.31 96965033.03 8971019.58
501 75 16018227297.01 38345775.07 102250994.02 8490561.38
501 76 15862496282.48 38218839.00 117512175.54 8012443.88
501 77 15709130939.21 38055139.22 115310204.05 6882368.18
501 78 15560689326.67 37894506.12 110547106.41 5849545.32
501 79 15423618967.15 37743032.01 99327327.50 4985885.01
501 80 15287644823.88 37616815.25 98357328.02 4205647.30
501 81 15159006151.05 37490772.16 91147900.67 3632812.85
501 82 15028797407.84 37380502.46 92828240.75 3186241.51
501 83 14921338401.74 37264308.86 70194697.24 2817663.46
501 84 14801255934.58 37202148.26 82880318.90 2766963.64
501 85 14658718157.72 37106936.52 105430840.34 2751485.72
501 86 14522470238.74 36953418.51 99294500.47 2739566.35
501 87 14383672248.30 36813505.93 101984484.51 2732379.92
501 88 14232371727.37 36664840.15 114635680.79 2752670.34
501 89 14088247863.63 36481878.40 107641985.34 2757070.43
501 90 13942309437.01 36314801.42 109623625.21 2741038.69
501 91 13814270517.90 36140510.28 91898408.83 2730309.29
501 92 13693484092.38 36010304.73 84776120.79 2720442.77
501 93 13576630935.22 35897053.81 80956103.35 2700914.87
501 94 13464513144.81 35792170.60 76325619.81 2721501.41
501 95 13371251955.04 35698114.69 57563075.08 2713422.81
501 96 13266458607.98 35652689.19 69140657.87 2695092.52
501 97 13139611408.18 35575197.62 91272002.19 2677464.27
501 98 13019810525.43 35436841.81 84364040.94 2612206.16
501 99 12888153755.03 35315371.35 96341399.05 2556836.97
501 100 12748812786.50 35159494.20 104181474.32 2517382.75
501 101 12620529088.89 34980082.53 93303615.09 2489770.66
501 102 12483201262.10 34828511.36 102499315.43 2458333.80
501 103 12367362895.35 34649445.41 81188921.35 2432145.09
501 104 12258650674.17 34527702.82 74184518.36 2401587.14
501 105 12153832933.72 34423972.28 70393768.16 2361047.56
501 106 12055921217.19 34329415.68 63582300.85 2322137.59
501 107 11970542633.63 34252760.10 51125823.46 2284740.58
501 108 11874626946.67 34210392.82 61705294.14 2255952.73
501 109 11758350232.89 34136628.58 82140085.20 2223498.87
501 110 11650629949.14 34002479.28 73717804.47 2194551.97
501 111 11525643392.84 33890996.32 91095559.98 2173856.94
501 112 11397111621.81 33727040.91 94804730.12 2152748.76
501 113 11278348795.60 33550072.77 85212753.44 2133535.54
501 114 11151987882.97 33399323.12 92961589.51 2109864.57
501 115 11047208005.42 33223500.95 71556376.60 2090524.51
501 116 10942322806.15 33109645.20 71775554.06 2071241.60
501 117 10844923355.86 32993517.02 64405933.27 2042872.62
501 118 0.00 32898081.70 10812025274.16 2016375.19
