sim month CECoverage CEPremium
313 74 3751584.00 1942754.27
313 75 3537244.35 1706751.98
313 76 3347801.22 1824879.07
313 77 3159281.01 1907606.02
313 78 2713695.78 1721808.91
313 79 2306457.03 1888326.08
313 80 1965918.52 1865905.38
313 81 1658273.29 1803366.37
313 82 1432406.49 1995068.09
313 83 1256324.84 1692929.85
313 84 1110995.70 1849467.75
313 85 1091004.92 1657412.13
313 86 1084902.02 1844866.35
313 87 1080202.25 1653120.66
313 88 1077368.67 1807292.85
313 89 1085369.12 1765809.44
313 90 1087104.06 1735861.36
313 91 1080782.79 1926267.94
313 92 1076552.23 1634603.89
313 93 1072661.89 1890973.31
313 94 1064962.10 1815860.42
313 95 1073079.31 1685074.92
313 96 1069893.94 1801650.20
313 97 1062666.37 1603521.40
313 98 1055715.60 1774332.31
313 99 1029984.54 1702594.05
313 100 1008152.65 1889049.70
313 101 992595.97 1625337.30
313 102 981708.61 1787869.00
313 103 969313.16 1844096.20
313 104 958987.04 1703948.69
313 105 946938.14 1833079.32
313 106 930953.51 1881479.48
313 107 915611.43 1754544.99
313 108 900865.91 2006557.26
313 109 889514.95 1722395.87
313 110 876718.50 1780561.29
313 111 865304.83 1879683.29
313 112 857144.84 2002103.24
313 113 848821.96 1826806.33
313 114 841246.25 2013141.57
313 115 831912.86 2017995.12
313 116 824287.13 2001022.56
313 117 816683.94 2236515.93
313 118 805498.14 1976849.54
313 119 795050.29 2039771.68
314 0 0.00 0.00
314 1 0.00 1808920.85
314 2 0.00 1996736.06
314 3 0.00 2108534.28
314 4 0.00 1936069.09
314 5 0.00 1997144.96
314 6 0.00 2021380.86
314 7 0.00 1990291.10
314 8 0.00 2069282.91
314 9 0.00 1809927.78
314 10 0.00 2009745.77
314 11 0.00 2058111.65
314 12 0.00 1968163.51
314 13 0.00 1842695.07
314 14 0.00 2265453.61
314 15 0.00 2016533.27
314 16 0.00 2220204.50
314 17 0.00 2409940.47
314 18 0.00 2315500.51
314 19 0.00 2546180.28
314 20 0.00 2608459.47
314 21 0.00 2559174.05
314 22 0.00 2811012.81
314 23 0.00 2442000.45
314 24 0.00 2616436.40
314 25 0.00 2509677.24
314 26 0.00 2682691.52
314 27 0.00 2625853.55
314 28 0.00 2965198.39
314 29 0.00 2514984.64
314 30 0.00 2757552.45
314 31 0.00 2813496.09
314 32 0.00 2542818.21
314 33 0.00 2666361.55
314 34 0.00 2689492.25
314 35 0.00 2335283.68
314 36 0.00 2615761.74
314 37 0.00 2219592.75
314 38 0.00 2257939.46
314 39 0.00 2241451.14
314 40 0.00 2395745.40
314 41 0.00 2136536.10
314 42 0.00 2284697.80
314 43 0.00 2280448.53
314 44 0.00 2191537.72
314 45 0.00 2352868.84
314 46 0.00 2066289.08
314 47 0.00 2160295.27
314 48 8875093.18 2347295.41
314 49 9801926.33 2043387.76
314 50 8983554.70 2126309.28
314 51 7844902.41 2103461.64
314 52 7085412.36 2133402.33
314 53 6396693.30 2055154.14
314 54 5903281.92 2193906.22
314 55 5486767.01 1957940.28
314 56 5138526.26 1969478.40
314 57 4911939.01 2076046.30
314 58 4625367.47 1922153.20
314 59 4324815.71 1924957.17
314 60 4449332.17 2001927.61
314 61 4482360.62 1815198.25
314 62 4527753.60 1967676.79
314 63 4565836.14 2114043.84
314 64 4637109.02 1822645.29
314 65 4711585.16 1928240.46
314 66 4744879.12 2006422.21
314 67 4843102.91 1842089.65
314 68 4955353.81 1845767.00
314 69 4963135.17 1856210.59
314 70 4790025.14 1873767.27
314 71 4629568.63 1947716.73
314 72 4384021.98 1737854.62
314 73 4054264.88 1717899.65
314 74 3751584.00 1942754.27
314 75 3537244.35 1706751.98
314 76 3347801.22 1824879.07
314 77 3159281.01 1907606.02
314 78 2713695.78 1721808.91
314 79 2306457.03 1888326.08
314 80 1965918.52 1865905.38
314 81 1658273.29 1803366.37
314 82 1432406.49 1995068.09
314 83 1256324.84 1692929.85
314 84 1110995.70 1849467.75
314 85 1091004.92 1657412.13
314 86 1084902.02 1844866.35
314 87 1080202.25 1653120.66
314 88 1077368.67 1807292.85
314 89 1085369.12 1765809.44
314 90 1087104.06 1735861.36
314 91 1080782.79 1926267.94
314 92 1076552.23 1634603.89
314 93 1072661.89 1890973.31
314 94 1064962.10 1815860.42
314 95 1073079.31 1685074.92
314 96 1069893.94 1801650.20
314 97 1062666.37 1603521.40
314 98 1055715.60 1774332.31
314 99 1029984.54 1702594.05
314 100 1008152.65 1889049.70
314 101 992595.97 1625337.30
314 102 981708.61 1787869.00
314 103 969313.16 1844096.20
314 104 958987.04 1703948.69
314 105 946938.14 1833079.32
314 106 930953.51 1881479.48
314 107 915611.43 1754544.99
314 108 900865.91 2006557.26
314 109 889514.95 1722395.87
314 110 876718.50 1780561.29
314 111 865304.83 1879683.29
314 112 857144.84 2002103.24
314 113 848821.96 1826806.33
314 114 841246.25 2013141.57
314 115 831912.86 2017995.12
314 116 824287.13 2001022.56
314 117 816683.94 2236515.93
314 118 805498.14 1976849.54
314 119 795050.29 2039771.68
315 0 0.00 0.00
315 1 0.00 1808920.85
315 2 0.00 1996736.06
315 3 0.00 2108534.28
315 4 0.00 1936069.09
315 5 0.00 1997144.96
315 6 0.00 2021380.86
315 7 0.00 1990291.10
315 8 0.00 2069282.91
315 9 0.00 1809927.78
315 10 0.00 2009745.77
315 11 0.00 2058111.65
315 12 0.00 1968163.51
